label,params,gt_spacing,ours_spacing,chamfer,delta_cd,fscore,disp_err,stress_err,stress_diff_mpa,chamfer_rel,disp_err_rel,stress_bias_rel
cluster_export_lattice_strength_1_25_rgd0,"[0.0, 0.0, 0.0]",1.1730356216732976,1.23003611200419,1.319467898032396,0.0014196602383962419,0.3223995397464241,0.43420011453872487,8.525344437281252,-0.0016831544141106794,0.0,0.0,-0.0
cluster_export_lattice_strength_1_25_rgd0.001,"[0.001, 0.0, 0.0]",1.1730356216732976,1.2145215801682518,1.2897349409437808,0.0013331948771823328,0.3427186389165465,0.5243223666064708,8.043941763943948,6.414176942997946e-05,-2.2534051137548103,20.755925447759925,-103.81080718989587
cluster_export_lattice_strength_1_25_rgd0.01,"[0.01, 0.0, 0.0]",1.1730356216732976,1.1995671344720036,1.3147852342631787,0.0009316886971179042,0.3347914730664226,0.150923709471214,14.425542003148038,0.004389099604958843,-0.3548903142092398,-65.24097889021776,-360.76630689156895
cluster_export_lattice_strength_1_25_rgd0.1,"[0.1, 0.0, 0.0]",1.1730356216732976,1.2246967632847063,1.3158277168312495,0.0009051387898555511,0.34141985551754156,0.24130560346640145,4.287511097879329,-0.0008909497517431759,-0.27588251344156783,-44.42525568590558,-47.066665763169276
cluster_export_lattice_strength_1_25_rgd1,"[1.0, 0.0, 0.0]",1.1730356216732976,1.1347439637636352,1.2688199021936986,0.0009103793423086888,0.33340555706969877,0.12146496172044548,7.350599972458211,0.0011983577501729656,-3.8385167167935044,-72.02558045165776,-171.1971367645515
cluster_export_lattice_strength_1_25_rgd2,"[2.0, 0.0, 0.0]",1.1730356216732976,1.1534895700094816,1.3296339119071636,0.0008989234156602112,0.33238521399759896,0.15795644905957512,9.987474213064425,-0.0002096261818024097,0.7704631457822764,-63.62127881348417,-87.54563573935854
cluster_export_lattice_strength_1_25_rgd5,"[5.0, 0.0, 0.0]",1.1730356216732976,1.1804011143050437,1.2958287699004902,0.001211987898719432,0.32981944675569747,0.2801798549119764,14.860076434792163,-0.004952580132281555,-1.7915652337701151,-35.47218309474028,194.243955917635
cluster_export_lattice_strength_1_25_rgd10,"[10.0, 0.0, 0.0]",1.1730356216732976,1.010666399534457,1.204701362029334,0.0015172023088507584,0.3921439958392663,0.6347104018176051,26.9002484266645,-0.010482603883793618,-8.697940751283369,46.17923408239851,522.7951396445266
cluster_export_lattice_strength_1_25_rgd20,"[20.0, 0.0, 0.0]",1.1730356216732976,1.1768757462295478,1.2985346622672502,0.0009919294028790837,0.34051728768066336,0.3358062436209931,20.984683728301807,-0.008765984192289907,-1.5864907207186756,-22.66095001431796,420.8068920356039
cluster_export_lattice_strength_1_25_rgd100,"[100.0, 0.0, 0.0]",1.1730356216732976,1.3375425630156803,1.5974250368424872,0.008116396145410359,0.27131747452371097,3.7094914535666303,98.80342351607996,-0.04151568406359042,21.06585080429647,754.3276082521146,2366.5404264483877
cluster_export_lattice_strength_1_25_rgd1000,"[1000.0, 0.0, 0.0]",1.1730356216732976,1.2030843735963874,1.5234939380492678,0.008410066933965253,0.2723641353118677,3.7517391130509408,99.87103248824778,-0.04210305433531782,15.462751334922023,764.0576055666461,2401.4374190714766
