label,params,gt_spacing,ours_spacing,chamfer,delta_cd,fscore,disp_err,stress_err,stress_diff_mpa,chamfer_rel,disp_err_rel,stress_bias_rel
cluster_export_synthetic_translate_rgd0,"[0.0, 0.0, 0.0]",1.1730356216732976,1.0675401668837934,1.272339784293611,0.00839040743770166,0.3562820779729835,0.13634865713085736,0.0,0.044854789990683944,0.0,0.0,0.0
cluster_export_synthetic_translate_rgd0.001,"[0.001, 0.0, 0.0]",1.1730356216732976,1.072995954549675,1.2672150788392782,0.009444112882549333,0.37225372395532064,0.7674653330942753,0.0,0.032801874333155415,-0.4027780564275946,462.8697408862038,-26.870966645996656
cluster_export_synthetic_translate_rgd0.01,"[0.01, 0.0, 0.0]",1.1730356216732976,1.0761431365127245,1.232566754118915,0.006879298871018646,0.383735705828372,0.03395660686855493,0.0,0.02783910757647546,-3.125975518935587,-75.09575262192287,-37.93503975326277
cluster_export_synthetic_translate_rgd0.1,"[0.1, 0.0, 0.0]",1.1730356216732976,1.0856514577036118,1.2356049108113103,0.010614450869467896,0.3764578274248702,0.031185737210393326,0.0,0.0191256372802766,-2.8871905080524973,-77.12794693646042,-57.36099247315867
cluster_export_synthetic_translate_rgd1,"[1.0, 0.0, 0.0]",1.1730356216732976,1.052968616248256,1.2644119497679354,0.013333011647750895,0.3687541698084007,0.02295101275812499,0.0,0.015663698585731817,-0.6230909874501125,-83.16740828910527,-65.079095033139
cluster_export_synthetic_translate_rgd2,"[2.0, 0.0, 0.0]",1.1730356216732976,1.0258070902898546,1.2199045250506622,0.014071916570111438,0.40219633983165715,0.04734563090204134,0.0,0.012682357523822173,-4.1211679372315135,-65.2760563262442,-71.72574539652015
cluster_export_synthetic_translate_rgd5,"[5.0, 0.0, 0.0]",1.1730356216732976,0.9945387214672146,1.2278275137534929,0.015037535649515625,0.3939592390943315,0.29839934136921187,0.0,0.0123371617700148,-3.498457808959492,118.85022386603355,-72.49533043722387
cluster_export_synthetic_translate_rgd10,"[10.0, 0.0, 0.0]",1.1730356216732976,0.9444342836844914,1.2148765259116405,0.014365306463642273,0.3955771760074742,0.16991424115437043,0.0,0.00904620402724632,-4.516345326250526,24.617465789413163,-79.83224527608945
cluster_export_synthetic_translate_rgd20,"[20.0, 0.0, 0.0]",1.1730356216732976,1.0315245359694256,1.2400520137032147,0.017352001843935868,0.36930482407571785,0.3601707743066118,0.0,0.007189462158803348,-2.5376688671510927,164.15425123031943,-83.97169586504239
cluster_export_synthetic_translate_rgd100,"[100.0, 0.0, 0.0]",1.1730356216732976,1.5580260441080915,6.865365534460608,0.0894986741672197,0.02368159720536886,14.230895155922912,0.0,4.059401219457618e-06,439.5858574266137,10337.136276498235,-99.99094990474754
cluster_export_synthetic_translate_rgd1000,"[1000.0, 0.0, 0.0]",1.1730356216732976,1.494173161738901,5.882169429682495,0.08950310116618823,0.030542167580734914,14.23102223144954,0.0,-3.870855740199335e-08,362.3112082397243,10337.229475455453,-100.00008629748888
